Area,Year,Crime,Cases_Convicted,Cases_Pending_at_Year_End,Cases_Pending_previous_year,Total_Cases_for_Trial,Cases_Trials_Completed
Rajasthan,2010,Dowry Deaths,100,70,46,1910,231
Sikkim,2010,Dowry Deaths,0,1,0,0,0
Tamil Nadu,2010,Dowry Deaths,46,117,115,707,164
Tripura,2010,Dowry Deaths,3,18,16,104,18
Uttar Pradesh,2010,Dowry Deaths,992,310,303,8753,1831
Uttarakhand,2010,Dowry Deaths,39,13,13,283,86
West Bengal,2010,Dowry Deaths,24,494,480,2332,229
Andaman & Nicobar Islands,2010,Molestation,0,10,6,194,3
Andhra Pradesh,2010,Molestation,496,1174,1229,9433,2421
Arunachal Pradesh,2010,Molestation,4,35,14,401,8
Assam,2010,Molestation,73,1077,939,2663,449
Bihar,2010,Molestation,73,569,573,2612,407
Chandigarh,2010,Molestation,7,14,15,95,31
Chhattisgarh,2010,Molestation,409,98,66,9417,1383
Dadra & Nagar Haveli,2010,Molestation,1,6,0,23,1
Daman & Diu,2010,Molestation,0,3,4,6,1
Delhi,2010,Molestation,169,359,345,4056,415
Goa,2010,Molestation,4,25,30,107,25
Gujarat,2010,Molestation,22,62,69,7596,442
Haryana,2010,Molestation,117,39,41,2085,387
Himachal Pradesh,2010,Molestation,17,44,52,1557,121
Jammu & Kashmir,2010,Molestation,29,233,150,4963,373
Jharkhand,2010,Molestation,49,170,183,1083,317
Karnataka,2010,Molestation,52,619,470,6614,1206
Kerala,2010,Molestation,168,446,376,12107,1381
Lakshadweep,2010,Molestation,0,0,0,1,0
Madhya Pradesh,2010,Molestation,1749,93,99,31262,4730
Maharashtra,2010,Molestation,162,1284,1042,29413,1917
Manipur,2010,Molestation,0,194,176,9,0
Meghalaya,2010,Molestation,3,108,97,210,12
Mizoram,2010,Molestation,71,4,2,129,78
Nagaland,2010,Molestation,9,4,6,24,10
Odisha,2010,Molestation,98,1188,1230,17186,1340
Puducherry,2010,Molestation,7,0,1,275,31
Punjab,2010,Molestation,77,197,228,905,209
Rajasthan,2010,Molestation,550,24,16,10469,1073
Sikkim,2010,Molestation,3,3,7,32,7
Tamil Nadu,2010,Molestation,508,446,278,4267,1090
Tripura,2010,Molestation,22,53,25,1117,173
Uttar Pradesh,2010,Molestation,1818,99,71,9718,2552
Uttarakhand,2010,Molestation,51,4,6,477,62
West Bengal,2010,Molestation,81,2755,2309,12230,572
Andaman & Nicobar Islands,2010,Sexual harassment,0,6,4,27,0
Andhra Pradesh,2010,Sexual harassment,731,515,664,6521,2091
Arunachal Pradesh,2010,Sexual harassment,0,1,2,11,0
Assam,2010,Sexual harassment,3,9,5,15,7
Bihar,2010,Sexual harassment,0,10,6,59,3
Chandigarh,2010,Sexual harassment,8,4,0,34,17
Chhattisgarh,2010,Sexual harassment,31,13,8,621,84
Dadra & Nagar Haveli,2010,Sexual harassment,0,1,1,2,0
Daman & Diu,2010,Sexual harassment,0,0,0,3,1
Delhi,2010,Sexual harassment,47,91,116,570,87
Goa,2010,Sexual harassment,2,7,6,39,6
Gujarat,2010,Sexual harassment,9,9,5,1022,74
Haryana,2010,Sexual harassment,334,46,24,1452,441
Himachal Pradesh,2010,Sexual harassment,1,20,7,178,12
Jammu & Kashmir,2010,Sexual harassment,100,63,54,1500,203
Jharkhand,2010,Sexual harassment,3,59,61,34,11
Karnataka,2010,Sexual harassment,0,130,68,78,22
Kerala,2010,Sexual harassment,70,62,62,1307,232
Lakshadweep,2010,Sexual harassment,0,0,0,0,0
Madhya Pradesh,2010,Sexual harassment,309,17,6,2767,606
Maharashtra,2010,Sexual harassment,34,493,414,9233,664
Manipur,2010,Sexual harassment,0,2,2,0,0
Meghalaya,2010,Sexual harassment,0,17,17,4,0
Mizoram,2010,Sexual harassment,1,0,0,1,1
Nagaland,2010,Sexual harassment,0,1,0,2,0
Odisha,2010,Sexual harassment,11,76,89,1306,140
Puducherry,2010,Sexual harassment,2,0,1,100,10
Punjab,2010,Sexual harassment,13,17,16,77,25
Rajasthan,2010,Sexual harassment,9,2,0,105,11
Sikkim,2010,Sexual harassment,0,0,0,0,0
Tamil Nadu,2010,Sexual harassment,417,86,94,1650,724
Tripura,2010,Sexual harassment,0,2,0,9,2
Uttar Pradesh,2010,Sexual harassment,1951,0,17,6669,2555
Uttarakhand,2010,Sexual harassment,244,1,6,795,273
West Bengal,2010,Sexual harassment,37,115,91,192,92
Andaman & Nicobar Islands,2010,Cruelty by Husband and Relatives,0,2,7,67,2
Andhra Pradesh,2010,Cruelty by Husband and Relatives,756,3670,4558,28779,6099
Arunachal Pradesh,2010,Cruelty by Husband and Relatives,1,5,2,89,3
Assam,2010,Cruelty by Husband and Relatives,227,3990,3093,8725,1529
Bihar,2010,Cruelty by Husband and Relatives,182,3011,2714,6821,1244
Chandigarh,2010,Cruelty by Husband and Relatives,7,57,93,314,67
Chhattisgarh,2010,Cruelty by Husband and Relatives,142,72,61,5318,618
Dadra & Nagar Haveli,2010,Cruelty by Husband and Relatives,2,4,4,19,2
Daman & Diu,2010,Cruelty by Husband and Relatives,0,3,2,14,2
Delhi,2010,Cruelty by Husband and Relatives,83,4771,4332,3450,435
Goa,2010,Cruelty by Husband and Relatives,0,19,19,63,8
Gujarat,2010,Cruelty by Husband and Relatives,110,706,632,39915,3201
Haryana,2010,Cruelty by Husband and Relatives,131,798,660,7813,1382
