Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_Property_Stolen
Punjab,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,214,227,22781243,87496183
Rajasthan,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,191,241,1580000,1790000
Sikkim,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,1,0,798634
Tamil Nadu,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,49,156,10621862,375413547
Tripura,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,39,44,1205162,10908627
Uttar Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,293,864,39895913,65056558
Uttarakhand,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
West Bengal,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,202,997,285664678,1065026502
Andaman & Nicobar Islands,2010,Robbery - Property,2. Robbery,3,7,60080,318081
Andhra Pradesh,2010,Robbery - Property,2. Robbery,337,533,19902399,39143793
Arunachal Pradesh,2010,Robbery - Property,2. Robbery,26,69,1541787,4502105
Assam,2010,Robbery - Property,2. Robbery,88,662,3322890,13746590
Bihar,2010,Robbery - Property,2. Robbery,305,1538,14080283,83964697
Chandigarh,2010,Robbery - Property,2. Robbery,52,67,567140,3409440
Chhattisgarh,2010,Robbery - Property,2. Robbery,324,552,9596117,30437443
Dadra & Nagar Haveli,2010,Robbery - Property,2. Robbery,0,3,0,946907
Daman & Diu,2010,Robbery - Property,2. Robbery,0,0,0,0
Delhi,2010,Robbery - Property,2. Robbery,435,599,16484540,116610568
Goa,2010,Robbery - Property,2. Robbery,27,36,2245750,5842300
Gujarat,2010,Robbery - Property,2. Robbery,627,1367,30477347,106357622
Haryana,2010,Robbery - Property,2. Robbery,481,734,72926257,116343480
Himachal Pradesh,2010,Robbery - Property,2. Robbery,7,11,1171465,1619465
Jammu & Kashmir,2010,Robbery - Property,2. Robbery,19,56,3514800,5531200
Jharkhand,2010,Robbery - Property,2. Robbery,197,709,8179876,31192463
Karnataka,2010,Robbery - Property,2. Robbery,1011,1949,122951711,150847452
Kerala,2010,Robbery - Property,2. Robbery,336,524,9088410,19101844
Lakshadweep,2010,Robbery - Property,2. Robbery,0,0,0,0
Madhya Pradesh,2010,Robbery - Property,2. Robbery,1177,1918,73587461,130591889
Maharashtra,2010,Robbery - Property,2. Robbery,2206,3680,87244866,1520900483
Manipur,2010,Robbery - Property,2. Robbery,1,2,11500,51500
Meghalaya,2010,Robbery - Property,2. Robbery,10,66,115000,2890295
Mizoram,2010,Robbery - Property,2. Robbery,10,16,27950,1507760
Nagaland,2010,Robbery - Property,2. Robbery,12,63,688030,11368585
Odisha,2010,Robbery - Property,2. Robbery,716,1491,34063947,119195185
Puducherry,2010,Robbery - Property,2. Robbery,4,5,2140065,2425969
Punjab,2010,Robbery - Property,2. Robbery,191,241,33385419,45890133
Rajasthan,2010,Robbery - Property,2. Robbery,562,872,95860220,115853823
Sikkim,2010,Robbery - Property,2. Robbery,0,7,0,171600
Tamil Nadu,2010,Robbery - Property,2. Robbery,1326,1817,70981709,117163496
Tripura,2010,Robbery - Property,2. Robbery,16,63,396035,1318455
Uttar Pradesh,2010,Robbery - Property,2. Robbery,1223,2007,121061420,246998602
Uttarakhand,2010,Robbery - Property,2. Robbery,100,152,8107570,14016919
West Bengal,2010,Robbery - Property,2. Robbery,190,798,12010617,50393917
Andaman & Nicobar Islands,2010,Theft - Property,4. Theft,51,121,1012355,5115182
Andhra Pradesh,2010,Theft - Property,4. Theft,15080,26358,495913278,886949317
Arunachal Pradesh,2010,Theft - Property,4. Theft,162,445,14183400,39036632
Assam,2010,Theft - Property,4. Theft,1381,7860,76554211,285508811
Bihar,2010,Theft - Property,4. Theft,2242,15544,45833681,322648700
Chandigarh,2010,Theft - Property,4. Theft,468,1481,45899383,97718156
Chhattisgarh,2010,Theft - Property,4. Theft,1895,5805,76576521,215624738
Dadra & Nagar Haveli,2010,Theft - Property,4. Theft,20,63,1303700,6293660
Daman & Diu,2010,Theft - Property,4. Theft,19,47,3440585,6413312
Delhi,2010,Theft - Property,4. Theft,4509,23088,123172749,1598845599
Goa,2010,Theft - Property,4. Theft,313,1017,14117077,130811294
Gujarat,2010,Theft - Property,4. Theft,5105,16725,254323201,824549421
Haryana,2010,Theft - Property,4. Theft,4859,16266,235612864,587990593
Himachal Pradesh,2010,Theft - Property,4. Theft,377,837,42188916,97672155
Jammu & Kashmir,2010,Theft - Property,4. Theft,985,2490,78485237,143631373
Jharkhand,2010,Theft - Property,4. Theft,1379,7090,31022247,141140357
Karnataka,2010,Theft - Property,4. Theft,6480,20093,587641348,1469775629
Kerala,2010,Theft - Property,4. Theft,2110,4065,72925126,206828894
Lakshadweep,2010,Theft - Property,4. Theft,2,4,9000,18000
Madhya Pradesh,2010,Theft - Property,4. Theft,6682,21523,271839332,659776896
Maharashtra,2010,Theft - Property,4. Theft,16765,52363,958264429,3640776890
Manipur,2010,Theft - Property,4. Theft,30,417,1183700,30208364
Meghalaya,2010,Theft - Property,4. Theft,169,640,7235650,37310792
Mizoram,2010,Theft - Property,4. Theft,701,813,16293877,34672287
Nagaland,2010,Theft - Property,4. Theft,73,372,31153660,223472115
Odisha,2010,Theft - Property,4. Theft,3454,7572,220635148,663821864
Puducherry,2010,Theft - Property,4. Theft,266,534,11800800,18821640
Punjab,2010,Theft - Property,4. Theft,2801,5407,231391885,497975470
Rajasthan,2010,Theft - Property,4. Theft,4798,20981,588095593,988468024
Sikkim,2010,Theft - Property,4. Theft,22,53,1187000,2835372
Tamil Nadu,2010,Theft - Property,4. Theft,11584,14583,364514832,464409840
Tripura,2010,Theft - Property,4. Theft,86,410,2955025,11716542
Uttar Pradesh,2010,Theft - Property,4. Theft,5844,27487,258433654,768097095
Uttarakhand,2010,Theft - Property,4. Theft,721,1779,32129306,80909756
West Bengal,2010,Theft - Property,4. Theft,3515,19388,509046211,2654448736
Andaman & Nicobar Islands,2010,Total Property,7. Total Property Stolen & Recovered,90,219,1877591,8005476
Andhra Pradesh,2010,Total Property,7. Total Property Stolen & Recovered,19848,36407,725079668,1533054566
Arunachal Pradesh,2010,Total Property,7. Total Property Stolen & Recovered,287,831,41183072,194577564
Assam,2010,Total Property,7. Total Property Stolen & Recovered,1974,13694,104395362,424234339
Bihar,2010,Total Property,7. Total Property Stolen & Recovered,3180,22727,74962835,547924668
Chandigarh,2010,Total Property,7. Total Property Stolen & Recovered,725,2055,52203913,120437559
Chhattisgarh,2010,Total Property,7. Total Property Stolen & Recovered,3623,10569,136704392,472964216
Dadra & Nagar Haveli,2010,Total Property,7. Total Property Stolen & Recovered,51,123,4187591,29755928
Daman & Diu,2010,Total Property,7. Total Property Stolen & Recovered,32,85,5469085,14016402
Delhi,2010,Total Property,7. Total Property Stolen & Recovered,6500,28118,201822779,4195381977
Goa,2010,Total Property,7. Total Property Stolen & Recovered,434,1483,23233792,231265838
Gujarat,2010,Total Property,7. Total Property Stolen & Recovered,7689,23839,472276132,3496820849
Haryana,2010,Total Property,7. Total Property Stolen & Recovered,8106,23549,659378421,1247668627
Himachal Pradesh,2010,Total Property,7. Total Property Stolen & Recovered,539,1709,60928343,190373429
Jammu & Kashmir,2010,Total Property,7. Total Property Stolen & Recovered,1351,3978,97683758,226297520
Jharkhand,2010,Total Property,7. Total Property Stolen & Recovered,2153,10318,63504472,472956236
Karnataka,2010,Total Property,7. Total Property Stolen & Recovered,10293,29717,999646710,2411483345
Kerala,2010,Total Property,7. Total Property Stolen & Recovered,3914,9982,200163315,2685755183
Lakshadweep,2010,Total Property,7. Total Property Stolen & Recovered,3,7,22000,43000
Madhya Pradesh,2010,Total Property,7. Total Property Stolen & Recovered,11549,34358,7470011363,8265789122
Maharashtra,2010,Total Property,7. Total Property Stolen & Recovered,27960,80663,2337827896,23776254525
Manipur,2010,Total Property,7. Total Property Stolen & Recovered,37,665,1728760,92424968
Meghalaya,2010,Total Property,7. Total Property Stolen & Recovered,232,952,10255264,61353634
Mizoram,2010,Total Property,7. Total Property Stolen & Recovered,1112,1371,25117966,49795319
Nagaland,2010,Total Property,7. Total Property Stolen & Recovered,125,785,35836810,373911241
Odisha,2010,Total Property,7. Total Property Stolen & Recovered,5690,12691,311033656,1116660883
Puducherry,2010,Total Property,7. Total Property Stolen & Recovered,325,625,18752582,30249484
Punjab,2010,Total Property,7. Total Property Stolen & Recovered,5885,9873,646232099,1056728815
Rajasthan,2010,Total Property,7. Total Property Stolen & Recovered,8551,28152,854388626,1395764020
Sikkim,2010,Total Property,7. Total Property Stolen & Recovered,38,134,1444190,9445146
Tamil Nadu,2010,Total Property,7. Total Property Stolen & Recovered,16125,21509,660311804,1317919190
Tripura,2010,Total Property,7. Total Property Stolen & Recovered,192,879,5666102,33032746
Uttar Pradesh,2010,Total Property,7. Total Property Stolen & Recovered,9130,35068,577591772,1442670414
Uttarakhand,2010,Total Property,7. Total Property Stolen & Recovered,964,2234,47135685,123398840
West Bengal,2010,Total Property,7. Total Property Stolen & Recovered,4548,23759,1168242161,5015168687
